Game 1: Score = 672, Max Tile = 64, Time = 0.0209 seconds
Game 2: Score = 336, Max Tile = 32, Time = 0.0150 seconds
Game 3: Score = 1536, Max Tile = 128, Time = 0.0312 seconds
Game 4: Score = 248, Max Tile = 32, Time = 0.0084 seconds
Game 5: Score = 1144, Max Tile = 128, Time = 0.0341 seconds
Game 6: Score = 680, Max Tile = 64, Time = 0.0247 seconds
Game 7: Score = 932, Max Tile = 128, Time = 0.0252 seconds
Game 8: Score = 976, Max Tile = 64, Time = 0.0249 seconds
Game 9: Score = 668, Max Tile = 64, Time = 0.0255 seconds
Game 10: Score = 2316, Max Tile = 256, Time = 0.0819 seconds
Game 11: Score = 308, Max Tile = 32, Time = 0.0307 seconds
Game 12: Score = 1312, Max Tile = 128, Time = 0.0357 seconds
Game 13: Score = 564, Max Tile = 64, Time = 0.0177 seconds
Game 14: Score = 792, Max Tile = 64, Time = 0.0217 seconds
Game 15: Score = 1576, Max Tile = 128, Time = 0.0610 seconds
Game 16: Score = 836, Max Tile = 64, Time = 0.0264 seconds
Game 17: Score = 2556, Max Tile = 256, Time = 0.0564 seconds
Game 18: Score = 600, Max Tile = 64, Time = 0.0301 seconds
Game 19: Score = 1580, Max Tile = 128, Time = 0.0450 seconds
Game 20: Score = 596, Max Tile = 32, Time = 0.0343 seconds
Game 21: Score = 628, Max Tile = 64, Time = 0.0181 seconds
Game 22: Score = 656, Max Tile = 64, Time = 0.0232 seconds
Game 23: Score = 536, Max Tile = 64, Time = 0.0130 seconds
Game 24: Score = 1064, Max Tile = 128, Time = 0.0282 seconds
Game 25: Score = 1140, Max Tile = 128, Time = 0.0255 seconds
Game 26: Score = 1620, Max Tile = 128, Time = 0.0327 seconds
Game 27: Score = 2608, Max Tile = 256, Time = 0.0570 seconds
Game 28: Score = 1028, Max Tile = 128, Time = 0.0377 seconds
Game 29: Score = 744, Max Tile = 64, Time = 0.0207 seconds
Game 30: Score = 448, Max Tile = 64, Time = 0.0263 seconds
Game 31: Score = 1088, Max Tile = 128, Time = 0.0306 seconds
Game 32: Score = 832, Max Tile = 64, Time = 0.0255 seconds
Game 33: Score = 680, Max Tile = 64, Time = 0.0260 seconds
Game 34: Score = 324, Max Tile = 32, Time = 0.0241 seconds
Game 35: Score = 924, Max Tile = 64, Time = 0.0313 seconds
Game 36: Score = 488, Max Tile = 64, Time = 0.0133 seconds
Game 37: Score = 380, Max Tile = 32, Time = 0.0218 seconds
Game 38: Score = 1292, Max Tile = 128, Time = 0.0417 seconds
Game 39: Score = 472, Max Tile = 64, Time = 0.0281 seconds
Game 40: Score = 1472, Max Tile = 128, Time = 0.0436 seconds
Game 41: Score = 1776, Max Tile = 128, Time = 0.0661 seconds
Game 42: Score = 1052, Max Tile = 128, Time = 0.0516 seconds
Game 43: Score = 2324, Max Tile = 256, Time = 0.0710 seconds
Game 44: Score = 548, Max Tile = 64, Time = 0.0252 seconds
Game 45: Score = 1316, Max Tile = 128, Time = 0.0376 seconds
Game 46: Score = 792, Max Tile = 64, Time = 0.0070 seconds
Game 47: Score = 800, Max Tile = 64, Time = 0.0466 seconds
Game 48: Score = 408, Max Tile = 32, Time = 0.0145 seconds
Game 49: Score = 1156, Max Tile = 128, Time = 0.0314 seconds
Game 50: Score = 744, Max Tile = 64, Time = 0.0213 seconds
Game 51: Score = 680, Max Tile = 64, Time = 0.0328 seconds
Game 52: Score = 340, Max Tile = 32, Time = 0.0115 seconds
Game 53: Score = 636, Max Tile = 64, Time = 0.0462 seconds
Game 54: Score = 320, Max Tile = 32, Time = 0.0185 seconds
